,职位编码,职位名称,所在城市,发布日期,薪资待遇(k),公司编码,公司名称,公司全称,公司规模,所在区域,最低学历,融资状态,公司类型,经度,纬度,全职/实习,工作经验
129,4401687,图像处理算法工程师,苏州,2018-04-11 11:02:07,24.0,330882,金色未来,苏州金色未来信息咨询股份有限公司,50-150人,高新区,本科,天使轮,企业服务,120.552306,31.269044,全职,不限
130,3817901,算法工程师（图像处理方向）,北京,2018-04-23 14:11:39,21.0,109217,志诺维思,志诺维思（北京）基因科技有限公司,15-50人,海淀区,本科,A轮,"医疗健康,数据服务",115.99339,39.99426,全职,应届毕业生
131,4448267,计算机视觉/图像处理中高级算法工程师,深圳,2018-04-28 09:28:03,21.0,362414,弘金地体育,深圳市弘金地体育产业有限公司,150-500人,福田区,硕士,不需要融资,"移动互联网,文化娱乐",114.022558,22.552889,全职,3-5年
132,4497489,图像处理算法实习生,北京,2018-04-28 10:24:31,5.6,311753,起宏图,北京起宏图科技有限公司,15-50人,海淀区,本科,A轮,"医疗健康,文化娱乐",116.234297,40.078875,实习,应届毕业生
133,4214386,计算机视觉/图像处理中高级算法工程师,深圳,2018-04-28 12:00:48,21.0,109046,弘金地网球,深圳市弘金地网球发展有限公司,150-500人,福田区,硕士,不需要融资,"O2O,文化娱乐",114.019146,22.553235,全职,3-5年
134,3668180,OpenCV图像处理工程师,深圳,2018-04-28 16:29:36,28.0,7232,亿车科技,深圳市前海亿车科技有限公司,150-500人,宝安区,本科,A轮,"移动互联网,数据服务",113.993578,22.99368,全职,3-5年
135,3714376,计算机视觉/图像处理 算法工程师,北京,2018-04-25 17:54:16,28.0,520,小米,北京小米科技有限责任公司,2000人以上,海淀区,本科,D轮及以上,移动互联网,0.0,0.0,全职,不限
136,2735587,高级算法工程师（图像处理）,深圳,2018-04-28 17:16:59,25.2,119456,云之梦科技,深圳市云之梦科技有限公司,50-150人,南山区,硕士,A轮,"移动互联网,O2O",113.993578,22.99368,全职,3-5年
137,4373194,深度学习和depth图像处理算法工程师,北京,2018-04-04 14:40:51,19.0,3454,北京三星通信研究院,北京三星通信技术研究有限公司,500-2000人,朝阳区,硕士,D轮及以上,其他,116.444661,39.972375,全职,不限
138,3334711,技术专家(图像处理、计算机图形博士),上海,2018-04-20 15:05:33,19.0,451,腾讯,腾讯科技(深圳)有限公司,2000人以上,徐汇区,硕士,上市公司,"移动互联网 ,游戏",121.397451,31.165198,全职,应届毕业生
139,4460978,嵌入式开发专家（图像处理方向）,杭州,2018-04-21 18:12:25,17.0,103424,乐刻运动,杭州乐刻网络技术有限公司,500-2000人,西湖区,本科,C轮,O2O,120.124134,30.291882,全职,3-5年
140,4038482,音频或图像处理识别算法工程师,北京,2018-04-26 08:36:14,28.0,1730,一下科技,炫一下（北京）科技有限公司,500-2000人,朝阳区,本科,D轮及以上,"移动互联网,文化娱乐",116.48919426,39.999364,全职,1-3年
141,3859394,图像处理OpenCV（智能）,武汉,2018-04-18 11:31:13,24.0,277312,微晟,微晟（武汉）技术有限公司,15-50人,洪山区,本科,不需要融资,"移动互联网,硬件",114.412546,30.500298,全职,3-5年
142,4203255,图像算法工程师（图像处理与识别方向）,北京,2018-04-16 16:06:50,24.0,133336,上海摩象网络科技有限公司,上海摩象网络科技有限公司,50-150人,海淀区,本科,A轮,移动互联网,116.307278,40.035928,全职,1-3年
143,4091204,Python图像处理开发工程师,上海,2018-04-27 11:23:15,19.0,189579,Versa,上海懿天网络科技有限公司,15-50人,徐汇区,本科,A轮,"移动互联网,文化娱乐",121.445213,31.178716,全职,1-3年
144,4368540,视频图像处理（OpenGL）工程师,南京,2018-04-25 10:39:52,14.0,83580,地平线机器人,北京地平线信息技术有限公司,150-500人,栖霞区,不限,A轮,"移动互联网,硬件",118.878204,32.137577,全职,不限
145,4488109,OpenCV图像处理工程师,廊坊,2018-04-26 15:34:04,21.0,315255,北京蓝海之家教育科技研究院,北京蓝海之家教育科技研究院,50-150人,三河市,本科,不需要融资,"移动互联网,数据服务",116.804219,39.943893,兼职,3-5年
146,4407115,C++开发工程师（图像处理方向）,西安,2018-04-27 10:20:07,10.8,315042,科思创动,深圳市科思创动科技有限公司,150-500人,高新技术产业开发区,本科,A轮,"移动互联网,数据服务",108.88472,34.185799,全职,1-3年
147,4416244,C/C++软件工程师（图像处理经验优先）,珠海,2018-04-13 11:15:15,21.0,203647,耐能 Kneron,深圳市耐能人工智能有限公司,15-50人,香洲区,本科,A轮,"企业服务,数据服务",113.492789,22.224443,全职,3-5年
148,4118619,深度学习（图像处理）计算机视觉工程师,上海,2018-04-25 10:55:45,28.0,240153,天壤智能,上海天壤智能科技有限公司,50-150人,长宁区,本科,A轮,"移动互联网,企业服务",121.420479,31.193451,全职,3-5年
149,4376507,图形图像处理专家,上海,2018-04-19 12:00:42,28.0,83794,优麦,上海麦色信息科技有限公司,15-50人,闵行区,本科,天使轮,"移动互联网,医疗健康",,,全职,3-5年
150,4342530,图形图像处理,北京,2018-04-27 10:35:51,21.0,113697,LinkDoc,零氪信息技术（北京）有限公司,150-500人,海淀区,硕士,C轮,"医疗健康,数据服务",116.313451,39.982037,全职,应届毕业生
151,4124309,算法工程师（图形图像处理/识别）,北京,2018-04-23 10:49:38,9.0,173610,度量科技,北京度量科技有限公司,15-50人,朝阳区,硕士,未融资,硬件,116.408871,39.980098,全职,不限
152,4448710,图形图像处理/深度学习,上海,2018-04-19 12:03:48,14.0,83794,优麦,上海麦色信息科技有限公司,15-50人,闵行区,本科,天使轮,"移动互联网,医疗健康",,,全职,应届毕业生
